Numero Processo,Nome,Data,Protocolo,Título,Texto 3,Texto 4,Texto 5,Texto 6,Texto 7,Texto 8,Texto 9
0049.003281/2023-09,Médico(a),04/04/2023,0036955906,SEI/RO - 0036955906 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-DG; HB-GAD; HB-DIRTEC,Processo Nº:  0049.003281/2023-09,Assunto:Solicitação Material Permanente – Ano 2023/ 2024,,
0036.019918/2023-10,Ernani Marques de Almeida,05/05/2023,,SEI/RO - 0037995264 - Memorando,Memorando nº 103/2023/SESAU-GAD,"Aos Senhores,","COORDENADORES, DIRETORES, GERENTES","LEPAC, LACEN, CERO, HBAP, IIIª GRS, IVª GRS, Vª GRS, CDA, CEPEM, CAFII, AMI, HICD, HRC, HRE, HCAMP, CTFD, CIB, CDI, CEMETRON, SAMD, GPES.",,Assunto:Contratação para aquisição de material permanente (mobiliário geral) conforme PAS 2023.,
0036.019918/2023-10,Gerente,05/05/2023,,SEI/RO - 0037995264 - Memorando,Memorando nº 103/2023/SESAU-GAD,"Aos Senhores,","COORDENADORES, DIRETORES, GERENTES","LEPAC, LACEN, CERO, HBAP, IIIª GRS, IVª GRS, Vª GRS, CDA, CEPEM, CAFII, AMI, HICD, HRC, HRE, HCAMP, CTFD, CIB, CDI, CEMETRON, SAMD, GPES.",,Assunto:Contratação para aquisição de material permanente (mobiliário geral) conforme PAS 2023.,
0036.019918/2023-10,Gerente,05/05/2023,0037995264,SEI/RO - 0037995264 - Memorando,Memorando nº 103/2023/SESAU-GAD,"Aos Senhores,","COORDENADORES, DIRETORES, GERENTES","LEPAC, LACEN, CERO, HBAP, IIIª GRS, IVª GRS, Vª GRS, CDA, CEPEM, CAFII, AMI, HICD, HRC, HRE, HCAMP, CTFD, CIB, CDI, CEMETRON, SAMD, GPES.",,Assunto:Contratação para aquisição de material permanente (mobiliário geral) conforme PAS 2023.,
0036.033044/2023-11,Jonathan Josias Cosmo de Souza,18/07/2023,,SEI/RO - 0040039616 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 25/2023/HRC-DG,,N/A,,N/A,N/A,N/A
0036.033044/2023-11,Diretor(a) Adjunto(a),18/07/2023,0040039616,SEI/RO - 0040039616 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 25/2023/HRC-DG,,N/A,,N/A,N/A,N/A
0036.038658/2023-81,Jéssica Tezori,17/08/2023,,SEI/RO - 0040944020 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 34/2023/HRSF-ASTEC,,N/A,,N/A,N/A,N/A
0036.038658/2023-81,Diretor(a),17/08/2023,,SEI/RO - 0040944020 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 34/2023/HRSF-ASTEC,,N/A,,N/A,N/A,N/A
0036.038658/2023-81,Diretor(a),17/08/2023,0040944020,SEI/RO - 0040944020 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 34/2023/HRSF-ASTEC,,N/A,,N/A,N/A,N/A
0036.048286/2023-00,Ernani Marques de Almeida,31/10/2023,,SEI/RO - 0042599225 - Termo de Abertura,Termo de Abertura,"Aos onze dias do mês de outubro de dois mil e vinte três realizamos a abertura do processo SEI0036.048286/2023-00tendo por finalidade a aquisição de produtos de refrigeração como condicionadores de ar, bebedouros, frigobar, geladeiras e freezers para atender as unidades de saúde e sede da Secretaria de Estado da Saúde.",,"Porto Velho, 11 de outubro de 2023.",ERNANI MARQUES DE ALMEIDA,Coordenador Administrativo - GAD/SESAU-RO,N/A
0036.048286/2023-00,Gerente,31/10/2023,0042599225,SEI/RO - 0042599225 - Termo de Abertura,Termo de Abertura,"Aos onze dias do mês de outubro de dois mil e vinte três realizamos a abertura do processo SEI0036.048286/2023-00tendo por finalidade a aquisição de produtos de refrigeração como condicionadores de ar, bebedouros, frigobar, geladeiras e freezers para atender as unidades de saúde e sede da Secretaria de Estado da Saúde.",,"Porto Velho, 11 de outubro de 2023.",ERNANI MARQUES DE ALMEIDA,Coordenador Administrativo - GAD/SESAU-RO,N/A
0060.114123/2021-55,Ana Paula Santos da Silva,17/08/2021,,SEI/RO - 0020018989 - Ofício,Ofício nº 402/2021/HRSF-DG,Ao,Senhor FERNANDO VESLASQUES,Coordenador de Almoxarifado e Patrimônio - CAP/SESAU,Porto Velho - RO,,Assunto:Solicitação de EPI's.
0060.114123/2021-55,Diretor(a),17/08/2021,0020018989,SEI/RO - 0020018989 - Ofício,Ofício nº 402/2021/HRSF-DG,Ao,Senhor FERNANDO VESLASQUES,Coordenador de Almoxarifado e Patrimônio - CAP/SESAU,Porto Velho - RO,,Assunto:Solicitação de EPI's.
0036.584414/2021-12,Lucas Tadeu Rodrigues Pereira,10/12/2021,,SEI/RO - 0022773754 - Ofício,Ofício nº 22510/2021/HC-GAD,Ao Senhor,Mateus Nogueira Pinheiro,Chefe de Núcleo de Patrimônio - HC/NUALMO,,Assunto:Informação a cerca do itens elencados no memorando 76/2021 (ID-0022710326),
0036.584414/2021-12,Gerente,10/12/2021,0022773754,SEI/RO - 0022773754 - Ofício,Ofício nº 22510/2021/HC-GAD,Ao Senhor,Mateus Nogueira Pinheiro,Chefe de Núcleo de Patrimônio - HC/NUALMO,,Assunto:Informação a cerca do itens elencados no memorando 76/2021 (ID-0022710326),
0036.109115/2022-75,Luciana Cristina Freitas Rios,07/12/2022,,SEI/RO - 0034218485 - Despacho,DESPACHO,De:SESAU-SADJ,Para: SESAU-GECOMP,Processo Nº:  0036.109115/2022-75,Assunto:Solicitação de Ambulância com suporte avançado.,,"Senhor Gerente,"
0036.109115/2022-75,Assessor(a),07/12/2022,0034218485,SEI/RO - 0034218485 - Despacho,DESPACHO,De:SESAU-SADJ,Para: SESAU-GECOMP,Processo Nº:  0036.109115/2022-75,Assunto:Solicitação de Ambulância com suporte avançado.,,"Senhor Gerente,"
0049.003281/2023-09,CID OLAVO SCARPA VASCONCELLOS,04/04/2023,,SEI/RO - 0036967623 - Estudo Técnico,Estudo Técnico,N/A,,ESTUDO TÉCNICO PRELIMINAR DECRETO 26.182/06/2021,,,
0049.003281/2023-09,Médico(a),04/04/2023,,SEI/RO - 0036967623 - Estudo Técnico,Estudo Técnico,N/A,,ESTUDO TÉCNICO PRELIMINAR DECRETO 26.182/06/2021,,,
0049.003281/2023-09,Médico(a),04/04/2023,,SEI/RO - 0036967623 - Estudo Técnico,Estudo Técnico,N/A,,ESTUDO TÉCNICO PRELIMINAR DECRETO 26.182/06/2021,,,
0049.003281/2023-09,DIEGO ESCOBAR,04/04/2023,0036967623,SEI/RO - 0036967623 - Estudo Técnico,Estudo Técnico,N/A,,ESTUDO TÉCNICO PRELIMINAR DECRETO 26.182/06/2021,,,
0036.033044/2023-11,Jonathan Josias Cosmo de Souza,18/07/2023,,SEI/RO - 0040057390 - Despacho,DESPACHO,De: HRC-DG,Para: SESAU-GECOMP,Processo Nº:  0036.033044/2023-11,"Assunto:Aquisição de Equipamentos e Materiais Hospitalares que se Restaram Desertos, Visando Subsidiar a Abertura IMEDIATA da UTI Neonatal do Hospital Regional de Cacoal.",,"Senhora Gerente,"
0036.033044/2023-11,Diretor(a) Adjunto(a),18/07/2023,0040057390,SEI/RO - 0040057390 - Despacho,DESPACHO,De: HRC-DG,Para: SESAU-GECOMP,Processo Nº:  0036.033044/2023-11,"Assunto:Aquisição de Equipamentos e Materiais Hospitalares que se Restaram Desertos, Visando Subsidiar a Abertura IMEDIATA da UTI Neonatal do Hospital Regional de Cacoal.",,"Senhora Gerente,"
0036.038658/2023-81,Maria Helena Duarte Pereira,17/08/2023,,SEI/RO - 0040944079 - Despacho,DESPACHO,De:HRSF,Para:SESAU-GECOMP,,Assunto: Solicitação de Processo administrativo Licitatório.,,"Senhora,"
0036.038658/2023-81,Assessor(a),17/08/2023,0040944079,SEI/RO - 0040944079 - Despacho,DESPACHO,De:HRSF,Para:SESAU-GECOMP,,Assunto: Solicitação de Processo administrativo Licitatório.,,"Senhora,"
0036.048286/2023-00,Ernani Marques de Almeida,11/10/2023,,SEI/RO - 0042600677 - Memorando,Memorando nº 362/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de especificação de materiais.,,"Senhor Coordenador,",
0036.048286/2023-00,Gerente,11/10/2023,,SEI/RO - 0042600677 - Memorando,Memorando nº 362/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de especificação de materiais.,,"Senhor Coordenador,",
0036.048286/2023-00,Gerente,11/10/2023,0042600677,SEI/RO - 0042600677 - Memorando,Memorando nº 362/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de especificação de materiais.,,"Senhor Coordenador,",
0060.114123/2021-55,IDEL MARTINS GONÇALVES,18/08/2021,,SEI/RO - 0020027276 - Despacho,DESPACHO,De:SESAU-CAP,Para: HRSF-DG,Processo Nº:  0060.114123/2021-55,Assunto:Devolução de autos,,"Senhor(a),"
0060.114123/2021-55,Coordenador(a) Adjunto(a),18/08/2021,0020027276,SEI/RO - 0020027276 - Despacho,DESPACHO,De:SESAU-CAP,Para: HRSF-DG,Processo Nº:  0060.114123/2021-55,Assunto:Devolução de autos,,"Senhor(a),"
0036.584414/2021-12,MATEUS NOGUEIRA PINHEIRO,10/12/2021,,SEI/RO - 0022775126 - Despacho,DESPACHO,De:HC-NUALM,Para: HC-GAD.,Processo Nº:  0036.584414/2021-12,Assunto: Insumos almoxarifado.,,"Senhor(a),"
0036.584414/2021-12,Chefe de Unidade,10/12/2021,0022775126,SEI/RO - 0022775126 - Despacho,DESPACHO,De:HC-NUALM,Para: HC-GAD.,Processo Nº:  0036.584414/2021-12,Assunto: Insumos almoxarifado.,,"Senhor(a),"
0050.072218/2022-94,Elvis Amaral Dos Santos,27/07/2022,,SEI/RO - 0030781498 - Despacho,DESPACHO,De:JPII-NAP,Para: Gerência Administrativa - GAD-JPII,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Cardioversor,,"Senhor(a) gerente,"
0050.072218/2022-94,Técnico,27/07/2022,0030781498,SEI/RO - 0030781498 - Despacho,DESPACHO,De:JPII-NAP,Para: Gerência Administrativa - GAD-JPII,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Cardioversor,,"Senhor(a) gerente,"
0036.109115/2022-75,Lucas Gabriel de Oliveira,09/01/2023,,SEI/RO - 0034938339 - Despacho,DESPACHO,,De:SESAU-GECOMP,Para:HRSF-DG,Processo Nº:  0036.109115/2022-75,Assunto: realizar a instrução processual para procedimento licitatório,
0036.109115/2022-75,Gerente,09/01/2023,,SEI/RO - 0034938339 - Despacho,DESPACHO,,De:SESAU-GECOMP,Para:HRSF-DG,Processo Nº:  0036.109115/2022-75,Assunto: realizar a instrução processual para procedimento licitatório,
0036.109115/2022-75,Gerente,09/01/2023,0034938339,SEI/RO - 0034938339 - Despacho,DESPACHO,,De:SESAU-GECOMP,Para:HRSF-DG,Processo Nº:  0036.109115/2022-75,Assunto: realizar a instrução processual para procedimento licitatório,
0036.033044/2023-11,Laura Bany de Araujo Pinto,20/07/2023,,SEI/RO - 0040146535 - Memorando,Memorando nº 862/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.033044/2023-11,Gerente,20/07/2023,,SEI/RO - 0040146535 - Memorando,Memorando nº 862/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.033044/2023-11,Gerente,20/07/2023,0040146535,SEI/RO - 0040146535 - Memorando,Memorando nº 862/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.038658/2023-81,Laura Bany de Araujo Pinto,18/08/2023,,SEI/RO - 0040978128 - Memorando,Memorando nº 983/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.038658/2023-81,Gerente,18/08/2023,,SEI/RO - 0040978128 - Memorando,Memorando nº 983/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.038658/2023-81,Gerente,18/08/2023,0040978128,SEI/RO - 0040978128 - Memorando,Memorando nº 983/2023/SESAU-GECOMP,Ao,Núcleo de Planejamento e Programação e Saúde - NPPS,,Assunto:Dotação Orçamentária.,,"Senhor Coordenador,"
0036.048286/2023-00,Genival Bastos Almeida,25/10/2023,,SEI/RO - 0042951205 - Informação,Informação nº 303/2023/SESAU-CO,"Este documento informativo visa atender ao Memorando 362 (0042600677), que solicita as especificações dos equipamentos comuns de refrigeração.","Dessa forma, segue na tabela abaixo, as especificações solicitadas:",,N/A,,"Recomendo que as especificações acima não sejam alteradas, não havendo necessidade de retorno do processo para avaliações e assinaturas futuras."
0036.048286/2023-00,Engenheiro(a),25/10/2023,0042951205,SEI/RO - 0042951205 - Informação,Informação nº 303/2023/SESAU-CO,"Este documento informativo visa atender ao Memorando 362 (0042600677), que solicita as especificações dos equipamentos comuns de refrigeração.","Dessa forma, segue na tabela abaixo, as especificações solicitadas:",,N/A,,"Recomendo que as especificações acima não sejam alteradas, não havendo necessidade de retorno do processo para avaliações e assinaturas futuras."
0060.114123/2021-55,Thiago Aparecido Borges Ferreira,18/08/2021,,SEI/RO - 0020055021 - Despacho,DESPACHO,De:HRSF-DG,Para: SESAU-GECOMP,Processo Nº:  0060.114123/2021-55,Assunto: Solicitação de EPI,,"Senhor(a), em atenção ao Despacho (0020027276), encaminhamos o processo em epígrafe para conhecimento e providências."
0060.114123/2021-55,Auxiliar Administrativo,18/08/2021,0020055021,SEI/RO - 0020055021 - Despacho,DESPACHO,De:HRSF-DG,Para: SESAU-GECOMP,Processo Nº:  0060.114123/2021-55,Assunto: Solicitação de EPI,,"Senhor(a), em atenção ao Despacho (0020027276), encaminhamos o processo em epígrafe para conhecimento e providências."
0036.584414/2021-12,ATYLLA PACHECO MONTEIRO,12/05/2022,,SEI/RO - 0028778217 - Despacho,DESPACHO,De: HC-GAD,Destino: HC-NUPAT/ HC-GMED/ HC-GENF/ HC-GFISIO,Processo Nº:  0036.584414/2021-12,Assunto: SOLICITAÇÃO DE AQUSIÇÕES QUANTO A NOVA DEMANDA DO HOSPITAL DE RETAGUARDA,,"Senhores Chefes,"
0036.584414/2021-12,Gerente,12/05/2022,0028778217,SEI/RO - 0028778217 - Despacho,DESPACHO,De: HC-GAD,Destino: HC-NUPAT/ HC-GMED/ HC-GENF/ HC-GFISIO,Processo Nº:  0036.584414/2021-12,Assunto: SOLICITAÇÃO DE AQUSIÇÕES QUANTO A NOVA DEMANDA DO HOSPITAL DE RETAGUARDA,,"Senhores Chefes,"
0050.071690/2022-18,Elvis Amaral Dos Santos,07/07/2022,,SEI/RO - 0030268863 - Despacho,DESPACHO,De:JPII-NAP,Para: Gerência Administrativa - GAD,Processo Nº:  0050.071690/2022-18,Assunto:Carrinho de anestesia,,"Senhor(a) gerente,"
0050.071690/2022-18,Técnico,07/07/2022,0030268863,SEI/RO - 0030268863 - Despacho,DESPACHO,De:JPII-NAP,Para: Gerência Administrativa - GAD,Processo Nº:  0050.071690/2022-18,Assunto:Carrinho de anestesia,,"Senhor(a) gerente,"
0036.109115/2022-75,ADRIANA BORGES DE OLIVEIRA,13/01/2023,,SEI/RO - 0035067997 - Despacho,DESPACHO,De: HRSF-ASTEC,Para: SESAU-GECOMP,Processo Nº:0036.109115/2022-75,Assunto:Realizar a instrução processual para procedimento licitatório - Solicitação de Ambulância com suporte avançado,,"Prezados,"
0036.109115/2022-75,Auxiliar Administrativo,13/01/2023,,SEI/RO - 0035067997 - Despacho,DESPACHO,De: HRSF-ASTEC,Para: SESAU-GECOMP,Processo Nº:0036.109115/2022-75,Assunto:Realizar a instrução processual para procedimento licitatório - Solicitação de Ambulância com suporte avançado,,"Prezados,"
0036.109115/2022-75,Auxiliar Administrativo,13/01/2023,0035067997,SEI/RO - 0035067997 - Despacho,DESPACHO,De: HRSF-ASTEC,Para: SESAU-GECOMP,Processo Nº:0036.109115/2022-75,Assunto:Realizar a instrução processual para procedimento licitatório - Solicitação de Ambulância com suporte avançado,,"Prezados,"
0049.003281/2023-09,Patrícia Lopes Rangel,04/04/2023,,SEI/RO - 0037176190 - Despacho,DESPACHO,De:HB-DIRTEC,Para: HB-GAD,Processo Nº:  0049.003281/2023-09,Assunto:Solicitação Material Permanente – Ano 2023/ 2024 - UROLOGIA,,"Senhor(a),"
0049.003281/2023-09,Técnico(a),04/04/2023,0037176190,SEI/RO - 0037176190 - Despacho,DESPACHO,De:HB-DIRTEC,Para: HB-GAD,Processo Nº:  0049.003281/2023-09,Assunto:Solicitação Material Permanente – Ano 2023/ 2024 - UROLOGIA,,"Senhor(a),"
0036.019918/2023-10,KARINE RODRIGUES DE OLIVEIRA,08/05/2023,,SEI/RO - 0038043859 - Despacho,DESPACHO,De:HB-DG,Para: HB-ASTEC; HB-NUPAT,Processo Nº:  0036.019918/2023-10,Assunto:Contratação para aquisição de material permanente (mobiliário geral) conforme PAS 2023.,,
0036.019918/2023-10,Agente,08/05/2023,0038043859,SEI/RO - 0038043859 - Despacho,DESPACHO,De:HB-DG,Para: HB-ASTEC; HB-NUPAT,Processo Nº:  0036.019918/2023-10,Assunto:Contratação para aquisição de material permanente (mobiliário geral) conforme PAS 2023.,,
0036.033044/2023-11,LUANA SANTOS VIANA,20/07/2023,,SEI/RO - 0040156872 - Informação,Informação nº 3246/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção Memorando 862 (0040146535), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.033044/2023-11,Técnico,20/07/2023,,SEI/RO - 0040156872 - Informação,Informação nº 3246/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção Memorando 862 (0040146535), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.033044/2023-11,Técnico,20/07/2023,0040156872,SEI/RO - 0040156872 - Informação,Informação nº 3246/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção Memorando 862 (0040146535), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.038658/2023-81,Marlon Rodrigues de Jesus Wildner,18/08/2023,,SEI/RO - 0040999383 - Informação,Informação nº 3752/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção ao Memorando 983 (0040978128), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.038658/2023-81,Auxiliar Administrativo,18/08/2023,,SEI/RO - 0040999383 - Informação,Informação nº 3752/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção ao Memorando 983 (0040978128), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.038658/2023-81,Auxiliar Administrativo,18/08/2023,0040999383,SEI/RO - 0040999383 - Informação,Informação nº 3752/2023/SESAU-NPPS,indicação de dotação orçamentária,"Em atenção ao Memorando 983 (0040978128), informa-se que a despesa requerida poderá ser programada, conforme informação abaixo:",,N/A,,N/A
0036.048286/2023-00,Ernani Marques de Almeida,09/11/2023,,SEI/RO - 0043312999 - Memorando,Memorando nº 388/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de complementação de especificação de materiais.,,"Senhor Coordenador,",
0036.048286/2023-00,Gerente,09/11/2023,,SEI/RO - 0043312999 - Memorando,Memorando nº 388/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de complementação de especificação de materiais.,,"Senhor Coordenador,",
0036.048286/2023-00,Gerente,09/11/2023,0043312999,SEI/RO - 0043312999 - Memorando,Memorando nº 388/2023/SESAU-GAD,A Coordenaria de Obras,,Assunto:Solicitação de complementação de especificação de materiais.,,"Senhor Coordenador,",
0060.114123/2021-55,ALVARO MORAES DO AMARAL JUNIOR,13/09/2021,,SEI/RO - 0020639064 - Certidão,Certidão n°127,,"Lavramos esta certidão para informar a quem possa interessar que os efeitos processuais e administrativos, relacionados ao recebimento e conhecimento da presente demanda, contar-se-ão da presente data.","Por derradeiro, destaca-se que a presente CERTIDÃO representa a expressão do dever de cautela, quanto a futuros procedimentos de apuração de responsabilidade devido a ausência de tramitação, cujo o tempo torna-se fator crucial para evitar a solução de continuidade de serviços necessários a manutenção da saúde pública.",,"Porto Velho, 13 de setembro de 2021.",
0060.114123/2021-55,Gerente,13/09/2021,0020639064,SEI/RO - 0020639064 - Certidão,Certidão n°127,,"Lavramos esta certidão para informar a quem possa interessar que os efeitos processuais e administrativos, relacionados ao recebimento e conhecimento da presente demanda, contar-se-ão da presente data.","Por derradeiro, destaca-se que a presente CERTIDÃO representa a expressão do dever de cautela, quanto a futuros procedimentos de apuração de responsabilidade devido a ausência de tramitação, cujo o tempo torna-se fator crucial para evitar a solução de continuidade de serviços necessários a manutenção da saúde pública.",,"Porto Velho, 13 de setembro de 2021.",
0036.465253/2021-51,Francisca Luciana Silveira,13/10/2021,,SEI/RO - 0021303070 - Orientação,Orientação,"Desde o exercício de 2019, este Núcleo de Elaboração de Estudos e Projetos vêm abrindo os processos para execução de emendas parlamentares federais e congêneres, cujos cadastros de propostas são originadas exclusivamente pelo portal do Fundo Nacional de Saúde e pela Plataforma +Brasil. Em setembro/2019 já passou a ser o responsável pela abertura de todos estes processos. Tais aberturas são realizadasexclusivamentepara controle processual, visando o monitoramento dos prazos de execução, o saldo da emenda e a prestação de contas. Salienta-se que não há competência deste núcleo no tangente à execução e à instrução processual, considerando a incompatibilidade destas com a prestação de contas.","Informa-se que todos os trâmites processuais devem ocorrer exclusivamente neste Processo Administrativo (exceto licitação ou congêneres: neste caso, abrir processo relacionado com acesso a este núcleo) e que após conclusão de todas as etapas, este deve retornar ao Núcleo de Elaboração de Estudos e Projetos (NEEP) para devida anexação da prestação de contas e encerramento do mesmo.","Havendo necessidade de abertura de novo Processo Administrativo (inclusive filhotes), a solicitação deve ser enviada a este núcleo.","Ademais, prévia a tramitação ao NEEP, é necessário o encerramento do processo em todas as unidades e/ou setores onde se encontrar aberto.",,
0036.465253/2021-51,Assessor(a),13/10/2021,,SEI/RO - 0021303070 - Orientação,Orientação,"Desde o exercício de 2019, este Núcleo de Elaboração de Estudos e Projetos vêm abrindo os processos para execução de emendas parlamentares federais e congêneres, cujos cadastros de propostas são originadas exclusivamente pelo portal do Fundo Nacional de Saúde e pela Plataforma +Brasil. Em setembro/2019 já passou a ser o responsável pela abertura de todos estes processos. Tais aberturas são realizadasexclusivamentepara controle processual, visando o monitoramento dos prazos de execução, o saldo da emenda e a prestação de contas. Salienta-se que não há competência deste núcleo no tangente à execução e à instrução processual, considerando a incompatibilidade destas com a prestação de contas.","Informa-se que todos os trâmites processuais devem ocorrer exclusivamente neste Processo Administrativo (exceto licitação ou congêneres: neste caso, abrir processo relacionado com acesso a este núcleo) e que após conclusão de todas as etapas, este deve retornar ao Núcleo de Elaboração de Estudos e Projetos (NEEP) para devida anexação da prestação de contas e encerramento do mesmo.","Havendo necessidade de abertura de novo Processo Administrativo (inclusive filhotes), a solicitação deve ser enviada a este núcleo.","Ademais, prévia a tramitação ao NEEP, é necessário o encerramento do processo em todas as unidades e/ou setores onde se encontrar aberto.",,
