Documento,Setor,Processo
Anexo ITEM 1 proposta Rio Medi (0045092159),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 1 - RIO MEDI COMÉRCIO (0044905188),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeira ITEM 1 - RIO MEDI COMÉRCIO (0044905346),SESAU-GECOMP,0036.033044/2023-11
IV,SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridica ITEM 1 - RIO MEDI COMÉRCIO (0044905757),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 1 - RIO MEDI COMÉRCIO (0044906365),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 1 - RIO MEDI COMÉRCIO (0044906895),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Trabalhista ITEM 1 - RIO MEDI COMÉRCIO (0044908010),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 3 - Seleção fornecedor - COMPRAS GOV (0044946954),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 3 - S. JUSTINO (0044908327),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 3 - S. JUSTINO (0044908453),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeira ITEM 3 - S. JUSTINO (0044908701),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridica ITEM 3 - S. JUSTINO (0044908822),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 3 - S. JUSTINO (0044908916),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 3 - S. JUSTINO (0044909041),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Trabalhista ITEM 3 - S. JUSTINO (0044909193),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 4 - Seleção fornecedor - COMPRAS GOV (0044947314),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 4 - LABORATORIO ZOLTAN (0044909503),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 4 - LABORATORIO ZOLTAN (0044909602),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeiro ITEM 4 - LABORATORIO ZOLTAN (0044909853),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridico ITEM 4 - LABORATORIO ZOLTAN (0044929286),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 4 - LABORATORIO ZOLTAN (0044929296),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 4 - LABORATORIO ZOLTAN (0044929351),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 6 - Seleção fornecedor - COMPRAS GOV (0044947036),SESAU-GECOMP,0036.033044/2023-11
V,SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 6 - S. JUSTINO (0044929412),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 6 - S. JUSTINO (0044929442),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeiro ITEM 6 - S. JUSTINO (0044929476),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridico ITEM 6 - S. JUSTINO (0044929504),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 6 - S. JUSTINO (0044929595),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 6 - S. JUSTINO (0044929643),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Trabalhista ITEM 6 - S. JUSTINO (0044929674),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 8 - Seleção fornecedor - COMPRAS GOV (0044947439),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 8 - LABORATORIO ZOLTAN (0044929700),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 8 - LABORATORIO ZOLTAN (0044929714),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeiro ITEM 8 - LABORATORIO ZOLTAN (0044929738),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridica ITEM 8 - LABORATORIO ZOLTAN (0044929767),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 8 - LABORATORIO ZOLTAN (0044929789),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 8 - LABORATORIO ZOLTAN (0044930133),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 9 - Seleção fornecedor - COMPRAS GOV (0044947138),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 9 - S. JUSTINO (0044930167),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 9 - S. JUSTINO (0044930186),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeiro ITEM 9 - S. JUSTINO (0044930217),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridica ITEM 9 - S. JUSTINO (0044930540),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 9 - S. JUSTINO (0044930622),SESAU-GECOMP,0036.033044/2023-11
VI,SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Trabalhista ITEM 9 - S. JUSTINO (0044931131),SESAU-GECOMP,0036.033044/2023-11
Relatório ITEM 10 - Seleção fornecedor - COMPRAS GOV (0044947550),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 10 - ELBER MEDICAL (0044934881),SESAU-GECOMP,0036.033044/2023-11
Declaração ITEM 10 - ELBER MEDICAL (0044934904),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Financeiro ITEM 10 - ELBER MEDICAL (0044934953),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Juridica ITEM 10 - ELBER MEDICAL (0044935046),SESAU-CO,0036.033044/2023-11
Documentos de Habilitação Técnica ITEM 10 - ELBER MEDICAL (0044935363),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Fiscal ITEM 10 - ELBER MEDICAL (0044935500),SESAU-GECOMP,0036.033044/2023-11
Documentos de Habilitação Trabalhista ITEM 10 - ELBER MEDICAL (0044935535),SESAU-GECOMP,0036.033044/2023-11
Certidão cagefimp (0045048203),SESAU-GECOMP,0036.033044/2023-11
Informação 38 (0044935594),SESAU-GECOMP,0036.033044/2023-11
Despacho 0044951971,SESAU-GECOMP,0036.033044/2023-11
Parecer 5 (0044981916),SESAU-GECOMP,0036.033044/2023-11
Ofício 1058 (0045048778),SESAU-GECOMP,0036.033044/2023-11
Ofício 1060 (0045048916),SESAU-GECOMP,0036.033044/2023-11
Ofício 1068 (0045049158),SESAU-GECOMP,0036.033044/2023-11
Ofício 1070 (0045049238),SESAU-GECOMP,0036.033044/2023-11
Declaração LABORATÓRIO ZOLTAN (0045056942),SESAU-GECOMP,0036.033044/2023-11
Declaração RIO MEDI (0045084169),SESAU-GECOMP,0036.033044/2023-11
Declaração elber (0045084855),SESAU-GECOMP,0036.033044/2023-11
VII,SESAU-GECOMP,0036.033044/2023-11
Declaração Justiniano (0045121171),SESAU-GECOMP,0036.033044/2023-11
Anexo certidões atualizadas ZOLTAN (0045169214),SESAU-GECOMP,0036.033044/2023-11
Anexo certidões atualizadas S.JUSTINO (0045169264),SESAU-GECOMP,0036.033044/2023-11
Anexo certidões atualizadas RIO MED (0045169376),SESAU-GECOMP,0036.033044/2023-11
Anexo certidões atualizadas ELBER (0045169448),SESAU-GECOMP,0036.033044/2023-11
Anexo ELBER (0046046703),SESAU-GECOMP,0036.033044/2023-11
Anexo RIO MEDI (0046046759),SESAU-GECOMP,0036.033044/2023-11
Anexo S.JUSTINO (0046046874),SESAU-GECOMP,0036.033044/2023-11
Anexo ZOLTAN (0046046918),PGE-SESAU,0036.033044/2023-11
Parecer 2 DESCONSIDERAR (0045011891),PGE-SESAU,0036.033044/2023-11
Informação 173 (0045290967),SESAU-GECOMP,0036.033044/2023-11
Informação 189 (0045320588),SESAU-GECOMP,0036.033044/2023-11
Justificativa DESCONSIDERAR (0045170858),SESAU-GECOMP,0036.033044/2023-11
Informação 275 (0045509696),SESAU-GECOMP,0036.033044/2023-11
Parecer 12 DESCONSIDERAR (0045923208),SESAU-GECOMP,0036.033044/2023-11
Justificativa DESCONSIDERAR (0046119367),SESAU-GECOMP,0036.033044/2023-11
Parecer 135 (0046234944),SESAU-GECOMP,0036.033044/2023-11
Despacho 0046277319,SESAU-GECOMP,0036.033044/2023-11
E-mail ZOLTAN (0046341904),SESAU-GECOMP,0036.033044/2023-11
E-mail S.JUSTINO (0046342004),SESAU-GECOMP,0036.033044/2023-11
VIII,SESAU-GECOMP,0036.033044/2023-11
Informação 884 (0047177043),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 1 - RIO MEDI (ATUALIZADO) (0049822690),SESAU-GECOMP,0036.033044/2023-11
Certidão FISCAL/TRABALHISTA - RIO MEDI (0049822850),SESAU-GECOMP,0036.033044/2023-11
Anexo FGTS RIO MEDI (0050317725),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 9 - S. JUSTINO (0049824588),SESAU-GECOMP,0036.033044/2023-11
Certidão FISCAL/TRABALHISTA - S. JUSTINO (0049824704),SESAU-GECOMP,0036.033044/2023-11
Anexo FGTS S.JUSTINO (0050317783),SESAU-GECOMP,0036.033044/2023-11
Proposta ITEM 10 - ELBER INDUSTRIA (ATUALIZADO) (0049823337),SESAU-GECOMP,0036.033044/2023-11
Certidão FISCAL/TRABALHISTA - ELBER INDUSTRIA (0049823403),SESAU-GECOMP,0036.033044/2023-11
Anexo FGTS ELBER (0050317651),SESAU-CO,0036.033044/2023-11
Informação 2145 (0049315782),SESAU-GECOMP,0036.033044/2023-11
Certidão 330 (0049817895),SESAU-GECOMP,0036.033044/2023-11
Certidão 361 (0050453321),SESAU-GECOMP,0036.033044/2023-11
SAMS 0041035862,SESAU-GECOMP,0036.033044/2023-11
Informação 2556 (0049826612),SESAU-GECOMP,0036.033044/2023-11
Despacho 0050582911,SESAU-GECOMP,0036.033044/2023-11
Despacho 0050596566,SESAU-GECOMP,0036.033044/2023-11
Parecer DESCONSIDERAR (0051095711),SESAU-GECOMP,0036.033044/2023-11
Parecer 81 Técnico (0050596506),SESAU-GECOMP,0036.033044/2023-11
Certidão Negativa CAGEFIMP - RIO MEDI (0050709386),SESAU-GECOMP,0036.033044/2023-11
IX,SESAU-GECOMP,0036.033044/2023-11
Certidão Negativa CAGEFIMP - JUSTINO (0050709412),SESAU-GECOMP,0036.033044/2023-11
Certidão Negativa CAGEFIMP - ELBER (0050709443),SESAU-GECOMP,0036.033044/2023-11
Análise 111 Técnica (0050763176),SESAU-GECOMP,0036.033044/2023-11
Certidão Negativas de Recuperação Judicial - RIO MEDI (0051060424),SESAU-GECOMP,0036.033044/2023-11
Certidão Negativas de Recuperação Judicial - S. JUSTINO (0051061074),SESAU-GECOMP,0036.033044/2023-11
Informação 3555 (0051061210),SESAU-GECOMP,0036.033044/2023-11
Análise 135 (0051074397),SESAU-GECOMP,0036.033044/2023-11
Certidão Municipal - S. JUSTINO (0051081713),SESAU-GECOMP,0036.033044/2023-11
Certificado FGTS - S. JUSTINO (0051081776),SESAU-GECOMP,0036.033044/2023-11
Certidão de Regularidade Fiscal Fazenda Nacional - CORRETO (0051083153),SESAU-GECOMP,0036.033044/2023-11
Certidão Municipal - ELBER INDUSTRIA (0051081846),SESAU-GECOMP,0036.033044/2023-11
Certificado FGTS - ELBER INDUSTRIA (0051081921),SESAU-GECOMP,0036.033044/2023-11
Informação 3572 (0051081956),SESAU-GECOMP,0036.033044/2023-11
Informação 3795 (0051324469),SESAU-GECOMP,0036.033044/2023-11
Certidão DESCONSIDERAR (0051486136),SESAU-GECOMP,0036.033044/2023-11
Certidão DESCONSIDERAR (0051486155),SESAU-GECOMP,0036.033044/2023-11
Certidão DESCONSIDERAR (0051486169),SESAU-GECOMP,0036.033044/2023-11
Certidão Atualizada - RIO MEDI COMÉRCIO ASSISTÊNCIA (0051653609),SESAU-GECOMP,0036.033044/2023-11
Certidão Atualizada - JUSTINO (0051654070),SESAU-GECOMP,0036.033044/2023-11
"Certidão Atualizada - ELBER INDÚSTRIA DE REFRIGERAÇÃO LTDA, (0051654535)",SESAU-GECOMP,0036.033044/2023-11
X,SESAU-GECOMP,0036.033044/2023-11
0036.024611/2024-11,SESAU-CGP,0036.024611/2024-11
I,SESAU-CGP,0036.024611/2024-11
Memorando 61 (0048952687),SESAU-CGP,0036.024611/2024-11
Proposta MK Cursos e Treinamentos (0048952717),SESAU-CGP,0036.024611/2024-11
Ofício SEGEP (0048952740),SESAU-CGP,0036.024611/2024-11
Documento de Oficialização de Demanda 5 (0049048695),SESAU-GECOMP,0036.024611/2024-11
Documento de Oficialização de Demanda 7 (0049048808),SESAU-NPPS,0036.024611/2024-11
Memorando 856 (0049331982),SESAU-GECOMP,0036.024611/2024-11
Informação 2463 (0049336469),SESAU-GECOMP,0036.024611/2024-11
Memorando 858 (0049339173),SESAU-GECOMP,0036.024611/2024-11
Autorização 0049339623,SESAU-GECOMP,0036.024611/2024-11
Justificativa de Notoriedade (0049464873),SESAU-GECOMP,0036.024611/2024-11
Portaria 3787 MINUTA (0049371876),SESAU-CGP,0036.024611/2024-11
Despacho 0049461534,SESAU-CGP,0036.024611/2024-11
Portaria 3838 (0049469019),SESAU-GECOMP,0036.024611/2024-11
Despacho 0049469304,SESAU-GECOMP,0036.024611/2024-11
Justificativa 0049338205,SESAU-GECOMP,0036.024611/2024-11
Comprovante de Preços (0049476737),SESAU-GECOMP,0036.024611/2024-11
Documentos de Habilitação - Cetidão Fiscal/Trab/Prev/TCU/CAGEFIMP (0049470361),SESAU-GECOMP,0036.024611/2024-11
Documentos de Habilitação - Qualificação Econômico-Financeira (0049470580),SESAU-GECOMP,0036.024611/2024-11
Documentos de Habilitação - Qualificação Jurídica (0049470653),SESAU-GECOMP,0036.024611/2024-11
Documentos de Habilitação - Declarações (0049470754),SESAU-GECOMP,0036.024611/2024-11
II,SESAU-GECOMP,0036.024611/2024-11
Documentos de Habilitação - Atualizados (0050232821),SESAU-GECOMP,0036.024611/2024-11
Portaria n° 2509 - abril/2024 (0049470855),SESAU-GECOMP,0036.024611/2024-11
Termo de Referência 0049374882,PGE-SESAU,0036.024611/2024-11
Parecer 104 (0049491328),PGE-SESAU,0036.024611/2024-11
Justificativa 0049492571,SESAU-GECOMP,0036.024611/2024-11
Parecer 363 (0049588153),SESAU-NAP,0036.024611/2024-11
Despacho 0049656912,SESAU-NAP,0036.024611/2024-11
Despacho 0049690145,SESAU-NAP,0036.024611/2024-11
Análise 212 (0049726932),SESAU-NAP,0036.024611/2024-11
Homologação 0049726995,SESAU-NAP,0036.024611/2024-11
Publicação no Diário Oficial-DIOF (0049758413),SESAU-NAP,0036.024611/2024-11
Publicação NO PNCP (0049758457),SESAU-NPPS,0036.024611/2024-11
Publicação No Portal Tansparência (0049758546),SESAU-NEOR,0036.024611/2024-11
Despacho 0049727044,SESAU-NEOR,0036.024611/2024-11
Informação 2801 (0049843158),SESAU-GECOMP,0036.024611/2024-11
NE - Nota de Empenho 0049846092,SESAU-GECOMP,0036.024611/2024-11
Despacho 0049846125,SESAU-GECOMP,0036.024611/2024-11
Comprovante de envio e recebimento de nota de empenho (0049902460),SESAU-GECOMP,0036.024611/2024-11
Adendo Protocolo de Recebimento (0050233263),SESAU-GECOMP,0036.024611/2024-11
Certificado Curso e-Social (0050231850),SESAU-GECOMP,0036.024611/2024-11
III,SESAU-GECOMP,0036.024611/2024-11
Lista de Presença (0050231978),SESAU-GECOMP,0036.024611/2024-11
Nota Fiscal (0050232078),SESAU-GECOMP,0036.024611/2024-11
Termo de Recebimento Definitivo 15 (0050232838),SESAU-NCOF,0036.024611/2024-11
Relatório de Fiscalização 0050232845,SESAU-NCOF,0036.024611/2024-11
Checklist 0050232860,SESAU-NCOF,0036.024611/2024-11
Despacho 0050232868,SESAU-NCOF,0036.024611/2024-11
Checklist 0050310624,SESAU-NCOF,0036.024611/2024-11
Consulta Optante do Simples (0050311175),SESAU-GNAP,0036.024611/2024-11
Consulta Autent. NF 1636 (0050311785),SESAU-GNAP,0036.024611/2024-11
GR - Guia de Recolhimento ISS NF 1636 (0050312916),SESAU-GNAP,0036.024611/2024-11
Despacho 0050312989,SESAU-GNAP,0036.024611/2024-11
Anexo 2024CE008490 (0050732842),SESAU-GNAP,0036.024611/2024-11
Anexo 2024NL031437 (0050732847),SESAU-GACP,0036.024611/2024-11
Anexo 2024PP015374 - ISS (0050770215),SESAU-NEFI,0036.024611/2024-11
Anexo SALDO EMPENHOS (0050770251),SESAU-NEFI,0036.024611/2024-11
Despacho 0050770269,SESAU-NEFI,0036.024611/2024-11
Análise 2417 (0051002702),SESAU-GECOMP,0036.024611/2024-11
0036.038658/2023-81,HRSF-ASTEC,0036.038658/2023-81
I,HRSF-ASTEC,0036.038658/2023-81
Documento de Oficialização de Demanda 34 (0040944020),SESAU-GECOMP,0036.038658/2023-81
Despacho 0040944079,SESAU-NPPS,0036.038658/2023-81
Memorando 983 (0040978128),SESAU-GECOMP,0036.038658/2023-81
Informação 3752 (0040999383),SESAU-GECOMP,0036.038658/2023-81
Informação 1874 (0041025902),SESAU-GECOMP,0036.038658/2023-81
Documento de Oficialização de Demanda HEURO (0041208779),SESAU-GECOMP,0036.038658/2023-81
Informação 1975 (0041208881),SESAU-GECOMP,0036.038658/2023-81
Informação 2001 (0041257343),SESAU-GECOMP,0036.038658/2023-81
Informação 2011 (0041291414),SESAU-GECOMP,0036.038658/2023-81
SAMS 0041311468,SESAU-GECOMP,0036.038658/2023-81
E-mail - DESCONSIDERA (0041349823),SESAU-GECOMP,0036.038658/2023-81
E-mail - Aos Fornecedores (0041492300),SESAU-GECOMP,0036.038658/2023-81
E-mail - REITERAÇÃO (0041750548),SESAU-GECOMP,0036.038658/2023-81
Proposta - ROVEMA ENERGIA (0041736305),SESAU-GECOMP,0036.038658/2023-81
Proposta - ELETRO ALVES (0041680882),SESAU-GECOMP,0036.038658/2023-81
Adendo - BANCO DE PREÇO (0041705268),SESAU-GECOMP,0036.038658/2023-81
Relatório 0041677481,SESAU-GECOMP,0036.038658/2023-81
Estudo Técnico Preliminar (0041224504),SESAU-CO,0036.038658/2023-81
Informação 2204 (0041770609),SESAU-GECOMP,0036.038658/2023-81
Despacho 0041819727,SESAU-GECOMP,0036.038658/2023-81
II,SESAU-GECOMP,0036.038658/2023-81
Informação 2242 (0041927234),SESAU-GECOMP,0036.038658/2023-81
Informação 2318 (0042094910),SESAU-GECOMP,0036.038658/2023-81
Memorando 1164 (0042166034),SESAU-CO,0036.038658/2023-81
Autorização 0042168135,SESAU-GECOMP,0036.038658/2023-81
Despacho 0042261675,SESAU-GECOMP,0036.038658/2023-81
Despacho 0042325427,SESAU-GECOMP,0036.038658/2023-81
Informação 2661 (0043141109),SESAU-GECOMP,0036.038658/2023-81
Termo de Referência 0042335670,SESAU-GECOMP,0036.038658/2023-81
SAMS 0042357691,SESAU-GECOMP,0036.038658/2023-81
Informação 2452 (0042442293),SUPEL-CAP,0036.038658/2023-81
Informação 2463 (0042480990),SUPEL-CAP,0036.038658/2023-81
Ofício 41294 (0042574551),SUPEL-CA,0036.038658/2023-81
Análise 639 (0042597044),SUPEL-NP,0036.038658/2023-81
Despacho 0042601571,SUPEL-NP,0036.038658/2023-81
Despacho 0042640909,SUPEL-CA,0036.038658/2023-81
Análise 265 (0042646492),SUPEL-NP,0036.038658/2023-81
Despacho 0042655185,SUPEL-ZETA,0036.038658/2023-81
Despacho 0042929481,SUPEL-ZETA,0036.038658/2023-81
Despacho 0042933377,SUPEL-NP,0036.038658/2023-81
Análise 11 (0043021261),SESAU-GECOMP,0036.038658/2023-81
III,SESAU-CO,0036.038658/2023-81
Despacho 0043021281,SUPEL-CPEAP,0036.038658/2023-81
Despacho 0043097735,SUPEL-CPEAP,0036.038658/2023-81
Despacho 0043201831,SUPEL-CPEAP,0036.038658/2023-81
Despacho 0043259791,SUPEL-CPEAP,0036.038658/2023-81
Cotação Banco de Preço (0043340665),SESAU-GECOMP,0036.038658/2023-81
Cotação Banco de Preço- Atualizado (0043369035),SESAU-GECOMP,0036.038658/2023-81
Quadro Comparativo de preço (0043433801),SESAU-GECOMP,0036.038658/2023-81
Despacho 0043433985,SESAU-GECOMP,0036.038658/2023-81
Informação 2735 (0043459442),SESAU-GECOMP,0036.038658/2023-81
Termo de Referência 0043166453,SESAU-CO,0036.038658/2023-81
SAMS 0043261457,SESAU-GECOMP,0036.038658/2023-81
Despacho DESCONSIDERAR (0043199110),SESAU-GECOMP,0036.038658/2023-81
Informação 2691 (0043261670),SESAU-GECOMP,0036.038658/2023-81
Despacho 0043651017,SESAU-GECOMP,0036.038658/2023-81
E-mail - AOS FORNECEDORES (0043690066),SESAU-GECOMP,0036.038658/2023-81
Proposta - SL ENERGIA (0043833244),SESAU-GECOMP,0036.038658/2023-81
E-mail - REITERAÇÃO AOS FORNECEDORES (0044063216),SESAU-GECOMP,0036.038658/2023-81
Termo de Referência 0044093739,SESAU-CO,0036.038658/2023-81
Adendo - QUESTIONAMENTO DA EMPRESA ROVEMA (0044327226),SESAU-GECOMP,0036.038658/2023-81
Despacho 0044329107,SESAU-GECOMP,0036.038658/2023-81
IV,SESAU-GECOMP,0036.038658/2023-81
Despacho 0044340453,SESAU-GECOMP,0036.038658/2023-81
Despacho 0044343353,SESAU-GECOMP,0036.038658/2023-81
Informação 2960 (0044346405),SESAU-SC,0036.038658/2023-81
Proposta - EMPRESA ROVEMA ENERGIA (0044462591),SESAU-SC,0036.038658/2023-81
Despacho 0044888904,SESAU-SC,0036.038658/2023-81
Despacho 0044906168,SESAU-SC,0036.038658/2023-81
Despacho 0044888960,SESAU-SC,0036.038658/2023-81
Despacho 0044939080,SESAU-SC,0036.038658/2023-81
Contrato nº 238 (0044981137),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/0868 (0044981201),SESAU-SC,0036.038658/2023-81
Contrato nº 0604 (0044981278),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/0962 (0044981337),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/1190 (0044981399),SESAU-SC,0036.038658/2023-81
Contrato nº 979 (0044981444),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/0905 (0044981486),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/1165 (0044981767),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/1218 (0044981803),SESAU-SC,0036.038658/2023-81
Contrato nº cnt/0792 (0044981954),SESAU-SC,0036.038658/2023-81
Contrato nº 209 (0044982040),SESAU-GECOMP,0036.038658/2023-81
